Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
742,30,70,2922,True,1.6,0,2/18/2026 7:37:41 PM,True,0,1,97,95.8,2703,,1.6,24,2/18/2026 8:22:39 PM,True,0,1,B2458E7C,97,2,14,GF,30/70,1017,1017,Petrel 3
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.6,0,1,0.87,0.32,0,0,0,0,0,67,False,False,0,0,52,44,58,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
10,9.1,0,1,0.97,0.32,0,0,99,0,0,67,False,False,0,0,58,49,65,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
20,13.1,0,1,1.18,0.32,0,0,99,0,0,67,False,False,0,0,71,60,79,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
30,19.5,0,1,1.23,0.32,0,0,99,0,0,67,False,False,0,0,74,63,82,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
40,21.6,0,1,1.29,0.32,0,0,99,0,0,67,False,False,0,0,78,66,85,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
50,22.6,0,1,1.28,0.32,0,0,99,0,0,67,False,False,0,0,77,65,84,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
60,20.5,0,1,1.28,0.32,0,0,99,0,0,67,False,False,0,0,77,65,85,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
70,20.4,0,1,1.22,0.32,0,0,99,0,0,67,False,False,0,0,74,62,81,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
80,25.5,0,1,1.31,0.32,0,0,99,0,0,67,False,False,0,0,78,67,87,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
90,30.3,0,1,1.27,0.32,0,0,99,0,0,67,False,False,0,0,77,65,84,1.57,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
